CODI_CAPA,CAPA_GENERICA,NOM_CAPA,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI,ID,id
K004,Transports i serveis relacionats,Tren a l'aeroport,2.189397,41.410259,Tren AEROPORT - CLOT-,10,65,Sant Martí,el Clot,1,1
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.135427,41.397791,FGC - BONANOVA-,5,26,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,2,2
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.139248,41.405731,FGC - EL PUTXET-,5,27,Sarrià-Sant Gervasi,el Putxet i el Farró,3,3
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.187234,41.409376,Clot (Aragó / Meridiana)-,10,65,Sant Martí,el Clot,4,4
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.183681,41.430013,Fabra i Puig (Avinguda Meridiana)-,9,60,Sant Andreu,Sant Andreu,5,5
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.193942,41.448718,Trinitat Vella (Via Bàrcino)-,9,57,Sant Andreu,la Trinitat Vella,6,6
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.130845,41.352108,Fira (Botànica + Accés NORD | EST)-,,,,,7,7
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.127161,41.341382,Parc Logístic (Av. Parc Logístic / C. Número Un)-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,8,8
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.073349,41.311895,Mas Blau (Avinguda de Les Garrigues / Alta Ribagorça)-,,,,,9,9
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.071238,41.288221,Aeroport T1 (Aeroport T1)-,,,,,10,10
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.137183,41.375321,Plaça de Sants (Olzinelles)-,3,18,Sants-Montjuïc,Sants,11,11
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.187168,41.41554,Navas (Navas de Tolosa)-,9,63,Sant Andreu,Navas,12,12
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.184227,41.428993,Fabra i Puig (Concepción Arenal)-,9,60,Sant Andreu,Sant Andreu,13,13
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.215595,41.446807,Santa Rosa (Banús Baixa)-,,,,,14,14
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.118251,41.360665,Can Tries | Gornal (Can Tries - Narcís de Monturiol)-,,,,,15,15
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.174722,41.460923,Ciutat Meridiana (Avinguda Rasos de Peguera)-,8,55,Nou Barris,Ciutat Meridiana,16,16
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.100181,41.364022,Rambla Just Oliveras (Renfe)-,,,,,17,17
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.148318,41.375296,Espanya (Creu Coberta)-,3,15,Sants-Montjuïc,Hostafrancs,18,18
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.176107,41.446956,Roquetes (Carrer de les Torres)-,8,50,Nou Barris,les Roquetes,19,19
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.154397,41.423314,El Carmel (Llobregós)-,7,37,Horta-Guinardó,el Carmel,20,20
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.209874,41.420292,Besòs (Tram Besòs)-,10,70,Sant Martí,el Besòs i el Maresme,21,21
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.208384,41.407801,Selva de Mar (Provençals)-,10,69,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,22,22
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.158841,41.429721,Horta (Lisboa)-,7,43,Horta-Guinardó,Horta,23,23
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.179469,41.400374,Monumental (Marina)-,2,5,Eixample,el Fort Pienc,24,24
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.133018,41.323636,ZAL | Riu Vell (Riu Llobregat)-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,25,25
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.177199,41.422578,Maragall (Ronda Guinardó - costat Muntanya)-,7,35,Horta-Guinardó,el Guinardó,26,26
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.110631,41.376202,Ernest Lluch (Avinguda de Xile)-,4,20,Les Corts,la Maternitat i Sant Ramon,27,27
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.176548,41.376975,Drassanes (La Rambla)-,1,1,Ciutat Vella,el Raval,28,28
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.144578,41.430446,Montbau (Residència Sanitària / Llars Mundet)-,7,40,Horta-Guinardó,Montbau,29,29
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.125112,41.39896,FGC - SARRIÀ-,5,24,Sarrià-Sant Gervasi,les Tres Torres,30,30
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.073187,41.444795,FGC - LA FLORESTA-,,,,,31,31
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.162924,41.406053,Joanic (Escorial)-,6,32,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,32
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.1866,41.421855,La Sagrera (Garcilaso)-,9,61,Sant Andreu,la Sagrera,33,33
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.144961,41.342872,Zona Franca (Carrer A (costat mar))-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,34,34
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.167015,41.385919,FGC - CATALUNYA (C. de Balmes)-,2,7,Eixample,la Dreta de l'Eixample,35,35
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.135951,41.381698,Plaça del Centre (Plaça del Centre (mar))-,3,18,Sants-Montjuïc,Sants,36,36
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.198307,41.457596,Can Zam (Francesc Macià)-,,,,,37,37
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.244468,41.448918,Badalona Pompeu Fabra (La Creu)-,,,,,38,38
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.111874,41.384249,Zona Universitària (Dr. Marañón / Diagonal)-,4,20,Les Corts,la Maternitat i Sant Ramon,39,39
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.111368,41.375777,Ernest Lluch (Cementiri de Sants)-,,,,,40,40
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.170146,41.385429,Catalunya (La Rambla)-,1,1,Ciutat Vella,el Raval,41,41
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.16013,41.396244,Diagonal (Diagonal / Pau Claris)-,2,7,Eixample,la Dreta de l'Eixample,42,42
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.149637,41.406234,Lesseps (Septimània)-,5,27,Sarrià-Sant Gervasi,el Putxet i el Farró,43,43
K003,Transports i serveis relacionats,RENFE,2.170436,41.388108,RENFE - CATALUNYA-,2,7,Eixample,la Dreta de l'Eixample,44,44
K003,Transports i serveis relacionats,RENFE,2.09108,41.331201,RENFE - EL PRAT DE LLOBREGAT-,,,,,45,45
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.166742,41.430379,Vilapicina (Cartellà)-,8,44,Nou Barris,Vilapicina i la Torre Llobeta,46,46
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.233378,41.440368,Gorg (Avinguda Alfons XIII)-,,,,,47,47
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.11686,41.368118,Torrassa (Rosalía de Castro)-,,,,,48,48
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.138586,41.37544,Plaça de Sants (Riego)-,3,18,Sants-Montjuïc,Sants,49,49
K011,Transports i serveis relacionats,Tramvia,2.219829,41.411777,TRAMVIA (T4) - FÒRUM-,10,70,Sant Martí,el Besòs i el Maresme,50,50
K011,Transports i serveis relacionats,Tramvia,2.230412,41.423854,"TRAMVIA (T4, T6) - ESTACIÓ DE SANT ADRIÀ-",,,,,51,51
K011,Transports i serveis relacionats,Tramvia,2.062227,41.360383,"TRAMVIA (T1,T2) - FONTSANTA-FATJÓ-",,,,,52,52
K003,Transports i serveis relacionats,RENFE,2.181768,41.496321,RENFE - MONTCADA-RIPOLLET-,,,,,53,53
K011,Transports i serveis relacionats,Tramvia,2.076889,41.365513,"TRAMVIA (T1,T2) - EL PEDRÒ-",,,,,54,54
K011,Transports i serveis relacionats,Tramvia,2.197653,41.411242,"TRAMVIA (T5, T6) - ESPRONCEDA-",10,71,Sant Martí,Provençals del Poblenou,55,55
K011,Transports i serveis relacionats,Tramvia,2.115012,41.38048,"TRAMVIA (T1,T2,T3) - AVINGUDA DE XILE-",4,20,Les Corts,la Maternitat i Sant Ramon,56,56
K011,Transports i serveis relacionats,Tramvia,2.106023,41.376071,"TRAMVIA (T1,T2,T3) - CAN RIGAL-",,,,,57,57
K011,Transports i serveis relacionats,Tramvia,2.222916,41.430456,TRAMVIA (T5) - ENCANTS DE SANT ADRIÀ-,,,,,58,58
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.078879,41.357949,Gavarra (Pl. Catalunya)-,,,,,59,59
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.150209,41.388368,Hospital Clínic (Comte d'Urgell)-,2,9,Eixample,la Nova Esquerra de l'Eixample,60,60
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.16747,41.399107,Verdaguer (Bailèn)-,2,7,Eixample,la Dreta de l'Eixample,61,61
K011,Transports i serveis relacionats,Tramvia,2.098896,41.376486,"TRAMVIA (T1,T2,T3) - CA N'OLIVERES-",,,,,62,62
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.195105,41.414871,Bac de Roda (Bac de Roda)-,10,72,Sant Martí,Sant Martí de Provençals,63,63
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.150072,41.374841,Espanya (Exposició)-,3,11,Sants-Montjuïc,el Poble-sec,64,64
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.158937,41.375177,Poble Sec (Manso)-,2,10,Eixample,Sant Antoni,65,65
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.158979,41.374902,Poble Sec (Teodor Bonaplata)-,3,11,Sants-Montjuïc,el Poble-sec,66,66
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.141301,41.417531,Penitents (Avinguda Vallcarca)-,6,28,Gràcia,Vallcarca i els Penitents,67,67
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.169533,41.387543,Catalunya (Centre Plaça)-,2,7,Eixample,la Dreta de l'Eixample,68,68
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.158917,41.382515,METRO (L1) - Urgell-,2,8,Eixample,l'Antiga Esquerra de l'Eixample,69,69
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.187563,41.402305,METRO (L1) - Glòries-,10,66,Sant Martí,el Parc i la Llacuna del Poblenou,70,70
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.184813,41.381839,METRO (L4) - Barceloneta-,1,3,Ciutat Vella,la Barceloneta,71,71
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.179488,41.400552,METRO (L2) - Monumental-,2,5,Eixample,el Fort Pienc,72,72
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.20075,41.419092,METRO (L2) - Sant Martí-,10,72,Sant Martí,Sant Martí de Provençals,73,73
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.216931,41.441388,METRO (L10N) - Llefià-,,,,,74,74
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.138256,41.361128,METRO (L10S) - Foneria-,3,13,Sants-Montjuïc,la Marina de Port,75,75
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.168879,41.373877,METRO (FM) - Paral·lel-,3,11,Sants-Montjuïc,el Poble-sec,76,76
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.148498,41.435673,METRO (L3) - Mundet-,7,41,Horta-Guinardó,la Vall d'Hebron,77,77
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.173056,41.381473,METRO (L3) - Liceu-,1,2,Ciutat Vella,el Barri Gòtic,78,78
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.169144,41.374921,METRO (L3) - Paral·lel-,3,11,Sants-Montjuïc,el Poble-sec,79,79
K011,Transports i serveis relacionats,Tramvia,2.075814,41.372339,TRAMVIA (T3) - SANT MARTÍ DE L'ERM-,,,,,80,80
K011,Transports i serveis relacionats,Tramvia,2.084309,41.373477,"TRAMVIA (T1,T2,T3) - LA SARDANA-",,,,,81,81
K009,Transports i serveis relacionats,Funicular,2.176893,41.460819,Ascensor Inclinat - Funicular Ciutat Meridiana-,8,55,Nou Barris,Ciutat Meridiana,82,82
K011,Transports i serveis relacionats,Tramvia,2.075217,41.378842,TRAMVIA (T3) - RAMBLA DE SANT JUST-,,,,,83,83
K011,Transports i serveis relacionats,Tramvia,2.22618,41.418903,"TRAMVIA (T4, T6) - PORT FÒRUM-",,,,,84,84
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.21846,41.451611,METRO (L1) - Fondo-,,,,,85,85
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.165373,41.391631,METRO (L3) - Passeig de Gràcia-,2,7,Eixample,la Dreta de l'Eixample,86,86
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.195529,41.41519,METRO (L2) - Bac de Roda-,10,72,Sant Martí,Sant Martí de Provençals,87,87
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.199588,41.449964,METRO (L1) - Baró de Viver-,9,57,Sant Andreu,la Trinitat Vella,88,88
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.192038,41.395136,METRO (L4) - Bogatell-,10,66,Sant Martí,el Parc i la Llacuna del Poblenou,89,89
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.178557,41.384154,METRO (L4) - Jaume I-,1,4,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",90,90
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.138181,41.375381,METRO (L1) - Plaça de Sants-,3,18,Sants-Montjuïc,Sants,91,91
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.145065,41.430648,METRO (L3) - Montbau-,7,40,Horta-Guinardó,Montbau,92,92
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.163267,41.379861,METRO (L2) - Sant Antoni-,1,1,Ciutat Vella,el Raval,93,93
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.178576,41.443758,METRO (L4) - Via Júlia-,8,51,Nou Barris,Verdun,94,94
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.158326,41.392331,FGC - PROVENÇA (C. de Provença)-,2,8,Eixample,l'Antiga Esquerra de l'Eixample,95,95
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.210257,41.419929,METRO (L4) - Besòs-,10,70,Sant Martí,el Besòs i el Maresme,96,96
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.070455,41.357319,METRO (L5) - Cornellà Centre-,,,,,97,97
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.119222,41.375772,METRO (L5) - Collblanc-,,,,,98,98
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.145645,41.384495,METRO (L5) - Entença-,2,9,Eixample,la Nova Esquerra de l'Eixample,99,99
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.167645,41.430493,METRO (L5) - Vilapicina-,8,46,Nou Barris,el Turó de la Peira,100,100
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.073141,41.303852,METRO (L9S) - Aeroport T2-,,,,,101,101
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.20532,41.436231,METRO (L9NL10N) - Bon Pastor-,9,59,Sant Andreu,el Bon Pastor,102,102
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.163043,41.379015,Sant Antoni (Urgell)-,2,10,Eixample,Sant Antoni,103,103
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.168813,41.389706,Passeig de Gràcia (Pau Claris)-,2,7,Eixample,la Dreta de l'Eixample,104,104
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.173425,41.389386,Urquinaona (Plaça Urquinaona)-,2,7,Eixample,la Dreta de l'Eixample,105,105
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.173855,41.389119,Urquinaona (Trafalgar)-,2,7,Eixample,la Dreta de l'Eixample,106,106
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.183539,41.430506,Fabra i Puig (Passeig Fabra i Puig)-,9,60,Sant Andreu,Sant Andreu,107,107
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.183301,41.431517,Fabra i Puig (Sòcrates)-,9,60,Sant Andreu,Sant Andreu,108,108
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.183366,41.43085,Fabra i Puig (Renfe)-,9,60,Sant Andreu,Sant Andreu,109,109
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.207862,41.451175,Santa Coloma (Llorenç Serra)-,,,,,110,110
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.163275,41.379017,Sant Antoni (Sant Antoni Abat)-,1,1,Ciutat Vella,el Raval,111,111
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.08996,41.331296,El Prat Estació (Doctor Soler i Torrens)-,,,,,112,112
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.144279,41.37511,Hostafrancs (Hostafrancs)-,3,15,Sants-Montjuïc,Hostafrancs,113,113
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.14939,41.374273,Espanya (Exposició / Gran Via)-,3,11,Sants-Montjuïc,el Poble-sec,114,114
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.159938,41.382757,Urgell (Villarroel / Sepúlveda)-,2,10,Eixample,Sant Antoni,115,115
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.142754,41.398631,FGC - MUNTANER-,5,26,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,116,116
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.158254,41.382048,Urgell (Comte d'Urgell)-,2,9,Eixample,la Nova Esquerra de l'Eixample,117,117
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.190955,41.442435,Torras i Bages (Palomar / costat mar)-,9,60,Sant Andreu,Sant Andreu,118,118
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.208486,41.45125,Santa Coloma (Plaça de la Vila)-,,,,,119,119
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.218559,41.451527,Fondo (Mossèn Cinto Verdaguer)-,,,,,120,120
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.163271,41.380684,Sant Antoni (Villarroel)-,2,10,Eixample,Sant Antoni,121,121
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.148115,41.434981,Mundet (Can Marcet)-,7,41,Horta-Guinardó,la Vall d'Hebron,122,122
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.180732,41.459324,Torre Baró | Vallbona (Avinguda Escolapi Càncer)-,8,54,Nou Barris,Torre Baró,123,123
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.106696,41.344386,Hospital de Bellvitge (Residència sanitària)-,,,,,124,124
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.223313,41.442247,La Salut (Austràlia)-,,,,,125,125
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.167657,41.389795,Passeig de Gràcia (Passeig de Gràcia / Gran Via)-,2,7,Eixample,la Dreta de l'Eixample,126,126
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.168769,41.399925,Verdaguer (Passeig Sant Joan)-,2,7,Eixample,la Dreta de l'Eixample,127,127
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.156061,41.425567,El Carmel (Plaça Pastrana)-,7,37,Horta-Guinardó,el Carmel,128,128
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.211467,41.453914,Església Major (Mossèn Camil Rossell)-,,,,,129,129
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.217345,41.441134,Llefià (Ronda Sant Antoni)-,,,,,130,130
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.234742,41.440083,Gorg (Antoni Bori)-,,,,,131,131
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),2.130828,41.397781,FGC - LES TRES TORRES-,5,24,Sarrià-Sant Gervasi,les Tres Torres,132,132
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.09993,41.371996,Can Vidalet (Maladeta)-,,,,,133,133
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.142118,41.355684,Foc (Fira Gran Via (Pavellons 6·7·8))-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,134,134
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.124146,41.361637,Provençana (Aprestadora / Rosell)-,,,,,135,135
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.14486,41.342901,Zona Franca (Carrer A / Carrer 2)-,3,12,Sants-Montjuïc,la Marina del Prat Vermell,136,136
K001,Transports i serveis relacionats,Metro i línies urbanes FGC,2.118107,41.385621,Palau Reial (Facultat de Ciències)-,4,20,Les Corts,la Maternitat i Sant Ramon,137,137
